geographic_unit_fips,baseline_dem,baseline_gop,baseline_turnout
48271,0.30207917369751675,0.6832555997084606,0.39437086092715234
48273,0.48380366059457547,0.4946171173144507,0.3863759479956663
48275,0.19522883578190675,0.7897075309506798,0.43224022125642036
48277,0.2098006360468999,0.7758055258800568,0.4497334348819497
48279,0.20246892221574675,0.7831183220288437,0.40123313168915775
48281,0.19272035736731785,0.7859804639147842,0.46384055288164877
48283,0.5171024373469506,0.4708598476629786,0.26676411474511236
48285,0.13634007213277863,0.8545000382220983,0.5254893964110929
48287,0.22035630965623962,0.7641973902794361,0.47462589459986987
48289,0.1282232897178323,0.8606365407885277,0.5185097668557026
48291,0.20299873792984685,0.7847121757276104,0.35467555110566384
48293,0.24673265169830993,0.7412866955432081,0.4205374513618677
48295,0.10062509983185638,0.886151695533125,0.5233644859813084
48297,0.1740403589969766,0.8141808221055191,0.4004611837048424
48299,0.183027903902513,0.8002854941765901,0.5740072202166066
48301,0.10587095196470198,0.871108578921079,0.6153846153846154
48303,0.30038346344741285,0.6724096755586808,0.40826433698577386
48305,0.20590335884872252,0.7814716051827812,0.40632486823191183
48307,0.15371963990932677,0.8314918405966636,0.45486996430392657
48309,0.3479841495220764,0.6294535954257788,0.42270649827835916
48311,0.09824934277189035,0.8947243187900054,0.9031578947368422
48313,0.20982283586964237,0.7810267250090419,0.3851256281407035
48315,0.2914251358261996,0.6949457067566205,0.44068008501062633
48317,0.146282924278477,0.8426682775389593,0.42286652078774617
48319,0.1800661453970725,0.8064935987047419,0.6532177392464155
48321,0.28548396975261775,0.7001998812621473,0.41497783407219757
48323,0.6878208985191872,0.29802386171275586,0.34469140637749274
48325,0.2776957252698792,0.7066753960081491,0.4278766091300785
48327,0.18448876905359526,0.8003537695406964,0.4802955665024631
48329,0.19701881043319686,0.7803734249876569,0.39451171785072975
48331,0.25442004309617605,0.7290949532998348,0.4429783223374175
48333,0.11136718563813866,0.8744791714182281,0.530139510397473
48335,0.1759253176643914,0.8116430253911608,0.2947905394960581
48337,0.11547159669830191,0.8708485979216496,0.5032608695652174
48339,0.22823619233784886,0.7498895682284898,0.48736827278896755
48341,0.1947019574391927,0.7863386566187255,0.38813964610234336
48343,0.30535124287672943,0.6824729680843573,0.458455522971652
48345,0.07442049988092553,0.9162253532667901,0.46232558139534885
48347,0.3174883357266789,0.6615580797315465,0.46171011694024244
